"case","years","steps","final_energy_ratio","max_abs_energy_error","max_abs_angular_momentum_drift","max_pair_separation_error_au"
"Figure-8",205.396727086691,20000,1.00000000000001,1.93255305518468e-14,1.13781916439189e+39,1.70986783490544e-08
"Lagrange triangle",333.14590036105,20000,1,4.97494039136935e-15,2.48304568422957e-15,1.01386712639387e-13
"Euler collinear",182.471524568115,20000,0.999999999999997,7.95990462619097e-15,4.14482326116078e-15,1.22398445842318e-15
"Butterfly I",202.434150598245,1e+05,1.00002623798008,2.62379800872731e-05,1.87407333669573e+45,8.00073704766363e-05
