"method","years","steps","final_separation_au","final_energy_ratio","max_abs_energy_error","max_abs_angular_momentum_drift"
"Euler",25,1000,10.2955961290783,0.145946434066376,0.854053565933624,1.09354108622938
"Midpoint",25,1000,1.05513864470483,0.942958236420508,0.0570417635794922,0.0297638382898616
"Heun",25,1000,1.21910343410076,0.849014140595078,0.150985859404922,0.0844417418488345
"RK4",25,1000,0.99957461292561,1.00042166743148,0.000421667431484122,0.000210765597796879
"Verlet",25,1000,1.00017631110251,0.999997788839183,0.00013827804679591,2.18101558470158e-15
